--- [LOG] Fill Buffer for Core 0 @ Cycle:3148   ---
Buffer Size: 256 | Count: 256 | Head: 2 | Tail: 2
[117] PC: 0x004e0da5 | OpNum: 120        | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 1@7fffffffda34 
[118] PC: 0x004e0da5 | OpNum: 121        | H2P: X | Disasm: LOGIC    r14(R13),r24(ZPS) <- r78(TMP0),r14(R13)
[119] PC: 0x004e0daa | OpNum: 122        | H2P: X | Disasm: LDA      r7(RDI) <- r13(R12)                 
[120] PC: 0x004e0daf | OpNum: 123        | H2P: X | Disasm: ILD      r6(RSI) <- r13(R12) 1@028b2ef4      
[121] PC: 0x004e0db4 | OpNum: 124        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[122] PC: 0x004e0dba | OpNum: 125        | H2P: X | Disasm: MOV      r14(R13) <- r6(RSI)                 
[123] PC: 0x004e0dbe | OpNum: 126        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r10(R9)                 
[124] PC: 0x004e0dc1 | OpNum: 127        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[125] PC: 0x004e0dc7 | OpNum: 128        | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[126] PC: 0x004e0dca | OpNum: 129        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[127] PC: 0x004e0dd0 | OpNum: 130        | H2P: X | Disasm: ILD      r1(RAX) <- r13(R12) 1@028b2ef8      
[128] PC: 0x004e0dd6 | OpNum: 131        | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX),r11(R10)        
[129] PC: 0x004e0dd9 | OpNum: 132        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[130] PC: 0x004e0ddf | OpNum: 133        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r4(RDX)                 
[131] PC: 0x004e0de1 | OpNum: 134        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[132] PC: 0x004e0de7 | OpNum: 135        | H2P: X | Disasm: ILD      r78(TMP0) <- r12(R11),r11(R10) 1@006d09c8
[133] PC: 0x004e0de7 | OpNum: 136        | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0),r1(RAX)       
[134] PC: 0x004e0deb | OpNum: 137        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[135] PC: 0x004e0df1 | OpNum: 138        | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda34              
[136] PC: 0x004e0df6 | OpNum: 139        | H2P: X | Disasm: CF_BR                                        
[137] PC: 0x004e0688 | OpNum: 140        | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 1@7fffffffda32 
[138] PC: 0x004e0688 | OpNum: 141        | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0)               
[139] PC: 0x004e068d | OpNum: 142        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[140] PC: 0x004e0693 | OpNum: 143        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r2(RBX)                 
[141] PC: 0x004e0695 | OpNum: 144        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[142] PC: 0x004e3998 | OpNum: 145        | H2P: X | Disasm: ILD      r1(RAX) <- r8(RSP) 8@7fffffffda18   
[143] PC: 0x004e399d | OpNum: 146        | H2P: X | Disasm: ILD      r16(R15) <- r8(RSP) 8@7fffffffda90  
[144] PC: 0x004e39a5 | OpNum: 147        | H2P: X | Disasm: ILD      r14(R13) <- r8(RSP) 8@7fffffffd9f0  
[145] PC: 0x004e39aa | OpNum: 148        | H2P: X | Disasm: ILD      r78(TMP0) <- r1(RAX) 1@028ae0d4     
[146] PC: 0x004e39aa | OpNum: 149        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r78(TMP0)               
[147] PC: 0x004e39ae | OpNum: 150        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[148] PC: 0x004e39b4 | OpNum: 151        | H2P: X | Disasm: LOGIC    r2(RBX),r24(ZPS) <- r2(RBX)         
[149] PC: 0x004e39b6 | OpNum: 152        | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 8@7fffffffda50 
[150] PC: 0x004e39b6 | OpNum: 153        | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0)               
[151] PC: 0x004e39bc | OpNum: 154        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[152] PC: 0x004e3aec | OpNum: 155        | H2P: X | Disasm: ILD      r1(RAX) <- r14(R13) 8@7fffffffdd10  
[153] PC: 0x004e3af0 | OpNum: 156        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r1(RAX)                 
[154] PC: 0x004e3af3 | OpNum: 157        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[155] PC: 0x004e3afd | OpNum: 158        | H2P: X | Disasm: ILD      r2(RBX) <- r8(RSP) 4@7fffffffdaa4   
[156] PC: 0x004e3b04 | OpNum: 159        | H2P: X | Disasm: LOGIC    r1(RAX),r24(ZPS) <- r1(RAX)         
[157] PC: 0x004e3b06 | OpNum: 160        | H2P: X | Disasm: ILD      r78(TMP0) 4@009ed1c8                
[158] PC: 0x004e3b06 | OpNum: 161        | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0),r2(RBX)       
[159] PC: 0x004e3b0c | OpNum: 162        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[160] PC: 0x004e3b12 | OpNum: 163        | H2P: X | Disasm: MOV      r7(RDI) <- r2(RBX)                  
[161] PC: 0x004e3b14 | OpNum: 164        | H2P: X | Disasm: IST      r8(RSP),r1(RAX) 4@7fffffffd9e8      
[162] PC: 0x004e3b18 | OpNum: 165        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[163] PC: 0x004e3b18 | OpNum: 166        | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffd9d8              
[164] PC: 0x004e3b18 | OpNum: 167        | H2P: X | Disasm: CF_CALL                                      
[165] PC: 0x004f0600 | OpNum: 168        | H2P: X | Disasm: IADD     r8(RSP) <- r8(RSP)                  
[166] PC: 0x004f0600 | OpNum: 169        | H2P: X | Disasm: IST      r8(RSP),r16(R15) 8@7fffffffd9d0     
